ID,Name,Description,ColumnSpec,Concepticon_ID,Concepticon_Gloss,Central_Concept,Core_Concept
thirsty,THIRSTY,,,847,THIRSTY,NOT,
thorn,THORN,,,124,THORN,,
thousand,THOUSAND,,,1843,THOUSAND,,
thread,THREAD,,,1161,THREAD,THREAD,
thunder,THUNDER,,,1150,THUNDER,THUNDER,
boilofliquid,BOIL (OF LIQUID),,,792,BOIL (OF LIQUID),COOK (SOMETHING),
burn,BURN,,,2102,BURN,BURN,Swadesh-1955-100
cooksomething,COOK (SOMETHING),,,1100,COOK (SOMETHING),COOK (SOMETHING),
cut,CUT,,,1432,CUT,CUT,Swadesh-1952-200
dance,DANCE,,,1879,DANCE,PLAY,
doormake,DO OR MAKE,,,2575,DO OR MAKE,WORK (LABOUR),Tadmor-2009-100
dreamsomething,DREAM (SOMETHING),,,1920,DREAM (SOMETHING),SLEEP,
enter,ENTER,,,749,ENTER,SINK (DESCEND),
go,GO,,,695,GO,GO,Tadmor-2009-100
hate,HATE,,,1607,HATE,ENVY,
kick,KICK,,,1135,KICK,KILL,
know,KNOW,,,3626,KNOW,,Tadmor-2009-100
liemislead,LIE (MISLEAD),,,601,LIE (MISLEAD),DECEIT,
lift,LIFT,,,501,LIFT,TAKE,
love,LOVE,,,923,LOVE,WANT,
rest,REST,,,168,REST,EDGE,
sell,SELL,,,1571,SELL,TRADE OR BARTER,
sew,SEW,,,1457,SEW,WEAVE,Swadesh-1952-200
sit,SIT,,,1416,SIT,"DWELL (LIVE, RESIDE)",Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110
speak,SPEAK,,,1623,SPEAK,SPEAK,
swim,SWIM,,,1439,SWIM,SWIM,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110
take,TAKE,,,1749,TAKE,TAKE,Tadmor-2009-100
bathe,BATHE,,,138,BATHE,SWIM,
tell,TELL,,,1711,TELL,SPEAK,
tie,TIE,,,1917,TIE,TIE,Swadesh-1952-200 Tadmor-2009-100
waitfor,WAIT (FOR),,,1590,WAIT (FOR),"DWELL (LIVE, RESIDE)",
wash,WASH,,,1453,WASH,SWIM,Swadesh-1952-200
weave,WEAVE,,,133,WEAVE,WEAVE,
workactivity,WORK (ACTIVITY),,,1086,WORK (ACTIVITY),WORK (LABOUR),
turtle,TURTLE,,,112,TURTLE,TORTOISE,
twelve,TWELVE,,,1707,TWELVE,,
uncookedrice,UNCOOKED RICE,,,3289,UNCOOKED RICE,,
village,VILLAGE,,,930,VILLAGE,COUNTRY,
wallofhouse,WALL (OF HOUSE),,,933,WALL (OF HOUSE),FENCE,
week,WEEK,,,1469,WEEK,WEEK,
when,WHEN,,,1238,WHEN,HOW,Swadesh-1952-200
wide,WIDE,,,1243,WIDE,MANY,Swadesh-1952-200 Tadmor-2009-100
window,WINDOW,,,1375,WINDOW,GLASS,
youngerbrother,YOUNGER BROTHER,,,1760,YOUNGER BROTHER,SISTER,
youngersister,YOUNGER SISTER,,,1761,YOUNGER SISTER,SISTER,
footorleg,FOOT OR LEG,,,2098,FOOT OR LEG,LEG,Tadmor-2009-100
pathorroad,PATH OR ROAD,,,2457,PATH OR ROAD,PATH,
turn,TURN,,,1588,TURN,TWIST (AROUND),
intestines,INTESTINES,,,1991,INTESTINES,INTESTINES,
shoulder,SHOULDER,,,1482,SHOULDER,BACK,
think,THINK,,,2271,THINK,KNOW (SOMETHING),Swadesh-1952-200
fearbeafraid,FEAR (BE AFRAID),,,1419,FEAR (BE AFRAID),FEAR (BE AFRAID),Swadesh-1952-200
breathe,BREATHE,,,1407,BREATHE,BREATH,Swadesh-1952-200
vomit,VOMIT,,,1278,VOMIT,SPIT,Swadesh-1952-200
suck,SUCK,,,1421,SUCK,DRINK,Swadesh-1952-200 Tadmor-2009-100
yawn,YAWN,,,1028,YAWN,,
femaleperson,FEMALE PERSON,,,2105,FEMALE PERSON,WOMAN,
child,CHILD,,,2099,CHILD,SMALL,
thatchorroof,THATCH OR ROOF,,,2100,THATCH OR ROOF,,
say,SAY,,,1458,SAY,SPEAK,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110 Tadmor-2009-100
fasten,FASTEN,,,1094,FASTEN,,
stab,STAB,,,1434,STAB,KILL,Swadesh-1952-200
hit,HIT,,,1433,HIT,KILL,Swadesh-1952-200
bedeadordie,BE DEAD OR DIE,,,2101,BE DEAD OR DIE,CORPSE,
cutorhack,CUT OR HACK,,,3889,CUT OR HACK,,
split,SPLIT,,,1437,SPLIT,CUT,Swadesh-1952-200
blunt,BLUNT,,,379,BLUNT,STUPID,Swadesh-1952-200
choose,CHOOSE,,,1750,CHOOSE,TAKE,
grow,GROW,,,479,GROW,GO UP (ASCEND),
swell,SWELL,,,1573,SWELL,MANY,Swadesh-1952-200
squeeze,SQUEEZE,,,1414,SQUEEZE,SQUEEZE,Swadesh-1952-200
open,OPEN,,,1156,OPEN,LET GO OR SET FREE,
pound,POUND,,,354,POUND,KILL,
fall,FALL,,,1280,FALL,FALL,Swadesh-1952-200 Tadmor-2009-100
fleshormeat,FLESH OR MEAT,,,2615,FLESH OR MEAT,FISH,Swadesh-1952-200 Swadesh-1955-100 Tadmor-2009-100
fatorganicsubstance,FAT (ORGANIC SUBSTANCE),,,323,FAT (ORGANIC SUBSTANCE),FAT (ORGANIC SUBSTANCE),Swadesh-1952-200 Swadesh-1955-100
worm,WORM,,,1219,WORM,MOSQUITO,Swadesh-1952-200 Starostin-1991-110
lake,LAKE,,,624,LAKE,LAKE,Swadesh-1952-200
fog,FOG,,,249,FOG,SMOKE (EXHAUST),Swadesh-1952-200
warm,WARM,,,1232,WARM,HOT,Starostin-1991-110
thin,THIN,,,2308,THIN,SMALL,Swadesh-1952-200
painfulorsick,PAINFUL OR SICK,,,2103,PAINFUL OR SICK,,
shyorashamed,SHY OR ASHAMED,,,3805,SHY OR ASHAMED,,
old,OLD,,,1229,OLD,OLD,Swadesh-1952-200 Tadmor-2009-100
badorevil,BAD OR EVIL,,,3764,BAD OR EVIL,,
hide,HIDE,,,2486,HIDE,,Tadmor-2009-100
climb,CLIMB,,,1102,CLIMB,GO UP (ASCEND),
at,AT,,,1461,AT,AND,Swadesh-1952-200
in,IN,,,1460,IN,AND,Swadesh-1952-200 Tadmor-2009-100
heorshe,HE OR SHE,,,2642,HE OR SHE,THAT,
other,OTHER,,,197,OTHER,OTHER,Swadesh-1952-200
and,AND,,,1577,AND,AND,Swadesh-1952-200
if,IF,,,1459,IF,HOW,Swadesh-1952-200
how,HOW,,,1239,HOW,HOW,Swadesh-1952-200
noornot,NO OR NOT,,,2279,NO OR NOT,,
fifty,FIFTY,,,1717,FIFTY,,
flashverb,FLASH (VERB),,,2377,FLASH (VERB),,
thunderverb,THUNDER (VERB),,,2378,THUNDER (VERB),THUNDER,
flowingbodyofwater,FLOWING BODY OF WATER,,,3311,FLOWING BODY OF WATER,WATER,
pond,POND,,,2035,POND,,
paddyfield,PADDY FIELD,,,140,PADDY FIELD,,
field,FIELD,,,212,FIELD,PASTURE,
ground,GROUND,,,2159,GROUND,COUNTRY,
infrontof,IN FRONT OF,,,1883,IN FRONT OF,BEFORE,
behind,BEHIND,,,1686,BEHIND,BACK,
thisyear,THIS YEAR,,,513,THIS YEAR,,
lastyear,LAST YEAR,,,514,LAST YEAR,,
january,JANUARY,,,2036,JANUARY,,
february,FEBRUARY,,,2037,FEBRUARY,,
day24hours,DAY (24 HOURS),,,1260,DAY (24 HOURS),DAY (NOT NIGHT),
daybeforeyesterday,DAY BEFORE YESTERDAY,,,1180,DAY BEFORE YESTERDAY,DAY BEFORE YESTERDAY,
dayaftertomorrow,DAY AFTER TOMORROW,,,1179,DAY AFTER TOMORROW,DAY BEFORE YESTERDAY,
now,NOW,,,1376,NOW,IMMEDIATELY,
leporidrabbitorhare,LEPORID (RABBIT OR HARE),,,2345,LEPORID (RABBIT OR HARE),,
dragon,DRAGON,,,2038,DRAGON,,
dove,DOVE,,,1853,DOVE,,
eagle,EAGLE,,,1905,EAGLE,VULTURE,
crow,CROW,,,913,CROW,VULTURE,
magpie,MAGPIE,,,2039,MAGPIE,,
swallow,SWALLOW,,,897,SWALLOW,DRINK,
bat,BAT,,,1793,BAT,BAT,
butterfly,BUTTERFLY,,,1791,BUTTERFLY,,
locust,LOCUST,,,810,LOCUST,,
bedbug,BEDBUG,,,1949,BEDBUG,,
leech,LEECH,,,2273,LEECH,,
bug,BUG,,,1027,BUG,,
pine,PINE,,,1740,PINE,PINE,
willow,WILLOW,,,818,WILLOW,PASTURE,
wildrice,WILD RICE,,,3390,WILD RICE,,
buckwheat,BUCKWHEAT,,,2040,BUCKWHEAT,,
taro,TARO,,,351,TARO,YAM,
cotton,COTTON,,,1850,COTTON,THREAD,
hemp,HEMP,,,2041,HEMP,,
bean,BEAN,,,832,BEAN,BEAN,
pea,PEA,,,2025,PEA,,
soya,SOYA,,,2027,SOYA,,
pumpkin,PUMPKIN,,,864,PUMPKIN,BOWL,
cucumber,CUCUMBER,,,496,CUCUMBER,,
vegetables,VEGETABLES,,,924,VEGETABLES,GRAIN,
pepper,PEPPER,,,1385,PEPPER,PEPPER,
walnut,WALNUT,,,2042,WALNUT,,
peach,PEACH,,,2043,PEACH,,
pear,PEAR,,,922,PEAR,,
persimmon,PERSIMMON,,,2044,PERSIMMON,,
mushroom,MUSHROOM,,,641,MUSHROOM,,
sproutshoot,SPROUT (SHOOT),,,3358,SPROUT (SHOOT),,
stoneoffruit,STONE (OF FRUIT),,,1762,STONE (OF FRUIT),,
peel,PEEL,,,275,PEEL,SCRAPE,
beard,BEARD,,,678,BEARD,JAW,
navel,NAVEL,,,1838,NAVEL,,Tadmor-2009-100
waist,WAIST,,,1681,WAIST,HALF,
kidney,KIDNEY,,,489,KIDNEY,BEAN,
stomach,STOMACH,,,819,STOMACH,INTESTINES,
perspireorsweat,PERSPIRE OR SWEAT,,,2458,PERSPIRE OR SWEAT,,
faecesexcrement,FAECES (EXCREMENT),,,675,FAECES (EXCREMENT),PISS,
urine,URINE,,,1142,URINE,PISS,
oldperson,OLD PERSON,,,725,OLD PERSON,,
childdescendant,CHILD (DESCENDANT),,,1801,CHILD (DESCENDANT),CHILD (DESCENDANT),Tadmor-2009-100
ancestors,ANCESTORS,,,1669,ANCESTORS,OLD,
grandfather,GRANDFATHER,,,1383,GRANDFATHER,FATHER-IN-LAW (OF MAN),
grandmother,GRANDMOTHER,,,1496,GRANDMOTHER,FATHER-IN-LAW (OF MAN),
family,FAMILY,,,194,FAMILY,SISTER,
market,MARKET,,,633,MARKET,MARKET,
bridge,BRIDGE,,,1011,BRIDGE,BRIDGE,
wall,WALL,,,3830,WALL,,
column,COLUMN,,,2045,COLUMN,,
stable,STABLE,,,851,STABLE,FENCE,
trousers,TROUSERS,,,809,TROUSERS,,
apron,APRON,,,2046,APRON,,
headdress,HEADDRESS,,,331,HEADDRESS,,
hat,HAT,,,771,HAT,,
earring,EARRING,,,770,EARRING,EAR,
bracelet,BRACELET,,,1754,BRACELET,CIRCLE,
bamboohat,BAMBOO HAT,,,2160,BAMBOO HAT,,
strawraincoat,STRAW RAINCOAT,,,3540,STRAW RAINCOAT,,
shoe,SHOE,,,1381,SHOE,SHOE,
strawsandal,STRAW SANDAL,,,2047,STRAW SANDAL,,
mat,MAT,,,195,MAT,MAT,
quilt,QUILT,,,2048,QUILT,,
hempcloth,HEMP CLOTH,,,2161,HEMP CLOTH,,
congee,CONGEE,,,2049,CONGEE,,
breakfast,BREAKFAST,,,1322,BREAKFAST,MEAL,
lunch,LUNCH,,,768,LUNCH,MEAL,
dinnersupper,DINNER (SUPPER),,,1833,DINNER (SUPPER),MEAL,
fatfromanimals,FAT (FROM ANIMALS),,,1282,FAT (FROM ANIMALS),,Starostin-1991-110
oilfromplants,OIL (FROM PLANTS),,,2555,OIL (FROM PLANTS),,
preparedfood,PREPARED FOOD,,,3542,PREPARED FOOD,,
soup,SOUP,,,1547,SOUP,WATER,
alcoholfermenteddrink,ALCOHOL (FERMENTED DRINK),,,404,ALCOHOL (FERMENTED DRINK),MEAD,
tea,TEA,,,1373,TEA,,
sugar,SUGAR,,,862,SUGAR,SWEET,
hoe,HOE,,,284,HOE,SHOVEL,
ploughinstrument,PLOUGH (INSTRUMENT),,,2154,PLOUGH (INSTRUMENT),CULTIVATE,
mill,MILL,,,636,MILL,MORTAR CRUSHER,
sievetool,SIEVE (TOOL),,,3353,SIEVE (TOOL),,
dustpan,DUSTPAN,,,2051,DUSTPAN,,
bucket,BUCKET,,,2052,BUCKET,,
sinkbasin,SINK (BASIN),,,915,SINK (BASIN),,
smallbowl,SMALL BOWL,,,2053,SMALL BOWL,,
chopsticks,CHOPSTICKS,,,1987,CHOPSTICKS,,
claypot,CLAY POT,,,2055,CLAY POT,,
bottle,BOTTLE,,,1321,BOTTLE,GLASS,
wok,WOK,,,2056,WOK,,
stove,STOVE,,,859,STOVE,FIREPLACE,
dunganimalfaeces,DUNG (ANIMAL FAECES),,,2057,DUNG (ANIMAL FAECES),,
table,TABLE,,,1775,TABLE,TABLE,
stool,STOOL,,,2058,STOOL,TABLE,
bed,BED,,,1663,BED,MAT,
stairs,STAIRS,,,34,STAIRS,,
ladder,LADDER,,,1464,LADDER,BRIDGE,
lock,LOCK,,,1596,LOCK,LOCK,
key,KEY,,,1472,KEY,LOCK,
mirror,MIRROR,,,1171,MIRROR,GLASS,
comb,COMB,,,1475,COMB,RAKE,
shears,SHEARS,,,356,SHEARS,NEEDLE (FOR SEWING),
pen,PEN,,,794,PEN,FEATHER,
book,BOOK,,,963,BOOK,LETTER,
folksong,FOLK SONG,,,2059,FOLK SONG,,
story,STORY,,,2060,STORY,STORY,
speech,SPEECH,,,1115,SPEECH,SPEAK,
soundornoise,SOUND OR NOISE,,,1811,SOUND OR NOISE,SPEAK,
thing,THING,,,738,THING,WEAPONS,
matter,MATTER,,,2150,MATTER,,
deity,DEITY,,,3231,DEITY,DAY (NOT NIGHT),
ghost,GHOST,,,1175,GHOST,GHOST,
buddha,BUDDHA,,,2061,BUDDHA,,
soul,SOUL,,,811,SOUL,GHOST,
strength,STRENGTH,,,202,STRENGTH,STRENGTH,
money,MONEY,,,1559,MONEY,SILVER,
cost,COST,,,242,COST,,
interest,INTEREST,,,2062,INTEREST,,
pay,PAY,,,718,PAY,TRADE OR BARTER,
look,LOOK,,,1819,LOOK,SEE,
closeeyes,CLOSE (EYES),,,2063,CLOSE (EYES),,
listen,LISTEN,,,1608,LISTEN,KNOW (SOMETHING),
smellstink,SMELL (STINK),,,1587,SMELL (STINK),STINKING,
read,READ,,,724,READ,READ,
shout,SHOUT,,,715,SHOUT,SHOUT,
strikeorbeat,STRIKE OR BEAT,,,2133,STRIKE OR BEAT,KILL,Tadmor-2009-100
pick,PICK,,,2148,PICK,TIE,
twisttogether,TWIST (TOGETHER),,,3236,TWIST (TOGETHER),,
pickup,PICK UP,,,371,PICK UP,TAKE,
scatterseeds,SCATTER (SEEDS),,,2064,SCATTER (SEEDS),,
kneel,KNEEL,,,66,KNEEL,ARM,
tread,TREAD,,,575,TREAD,,
ride,RIDE,,,367,RIDE,GO UP (ASCEND),
carryonback,CARRY ON BACK,,,465,CARRY ON BACK,,
carrypersononback,CARRY PERSON ON BACK,,,2153,CARRY PERSON ON BACK,,
wakeup,WAKE UP,,,1602,WAKE UP,GO UP (ASCEND),
do,DO,,,813,DO,WORK (LABOUR),
worklabour,WORK (LABOUR),,,984,WORK (LABOUR),WORK (LABOUR),
plough,PLOUGH,,,1921,PLOUGH,CULTIVATE,
cutwithaxe,CUT (WITH AXE),,,3151,CUT (WITH AXE),,
pullupweeds,PULL UP WEEDS,,,3548,PULL UP WEEDS,,
putouttopasture,PUT OUT TO PASTURE,,,2031,PUT OUT TO PASTURE,,
feed,FEED,,,739,FEED,FEED,
leadguide,LEAD (GUIDE),,,43,LEAD (GUIDE),TAKE,
callbyname,CALL BY NAME,,,180,CALL BY NAME,SHOUT,
teach,TEACH,,,709,TEACH,READ,
write,WRITE,,,1672,WRITE,PAINT (PIGMENTS),
sticking,STICKING,,,254,STICKING,,
stirfry,STIR FRY,,,2162,STIR FRY,,
fry,FRY,,,991,FRY,COOK (SOMETHING),
steamverb,STEAM (VERB),,,2067,STEAM (VERB),,
soakverb,SOAK (VERB),,,2069,SOAK (VERB),,
boilsomething,BOIL (SOMETHING),,,2492,BOIL (SOMETHING),COOK (SOMETHING),
cutwithknife,CUT (WITH KNIFE),,,2156,CUT (WITH KNIFE),,
chopintopieces,CHOP (INTO PIECES),,,2149,CHOP (INTO PIECES),CUT,
cutwithscissors,CUT (WITH SCISSORS),,,2155,CUT (WITH SCISSORS),,
grind,GRIND,,,1033,GRIND,SQUEEZE,Tadmor-2009-100
wear,WEAR,,,976,WEAR,CLOTHES,
hangup,HANG UP,,,357,HANG UP,HANG,
dryinsun,DRY IN SUN,,,3364,DRY IN SUN,,
shave,SHAVE,,,231,SHAVE,,
combverb,COMB (VERB),,,2070,COMB (VERB),,
sweep,SWEEP,,,230,SWEEP,SCRAPE,
layverb,LAY (VERB),,,2071,LAY (VERB),,
pileup,PILE UP,,,1576,PILE UP,TIE,
lightignite,LIGHT (IGNITE),,,737,LIGHT (IGNITE),COOK (SOMETHING),
get,GET,,,694,GET,TAKE,
misplace,MISPLACE,,,3072,MISPLACE,,
lookfor,LOOK FOR,,,1468,LOOK FOR,SEE,
useverb,USE (VERB),,,2072,USE (VERB),,
askinquire,ASK (INQUIRE),,,1309,ASK (INQUIRE),PRAY,
answer,ANSWER,,,1275,ANSWER,SPEAK,
quarrel,QUARREL,,,1848,QUARREL,BATTLE,
help,HELP,,,1897,HELP,PRESERVE,
meet,MEET,,,1831,MEET,SEE,
flee,FLEE,,,956,FLEE,RUN,
pursue,PURSUE,,,1047,PURSUE,FOLLOW,
robverb,ROB (VERB),,,2073,ROB (VERB),,
deceive,DECEIVE,,,3230,DECEIVE,,
angry,ANGRY,,,1826,ANGRY,,
like,LIKE,,,1117,LIKE,WANT,
believe,BELIEVE,,,1890,BELIEVE,KNOW (SOMETHING),
guess,GUESS,,,1932,GUESS,THINK (REFLECT),
remember,REMEMBER,,,707,REMEMBER,THINK (REFLECT),
want,WANT,,,1784,WANT,WANT,
must,MUST,,,971,MUST,,
beable,BE ABLE,,,972,BE ABLE,KNOW (SOMETHING),
be,BE,,,1579,BE,"DWELL (LIVE, RESIDE)",
thereisorthereare,THERE IS OR THERE ARE,,,2152,THERE IS OR THERE ARE,,
comeback,COME BACK,,,581,COME BACK,TWIST (AROUND),
arrive,ARRIVE,,,1387,ARRIVE,GO,
goupascend,GO UP (ASCEND),,,705,GO UP (ASCEND),GO UP (ASCEND),
godowndescend,GO DOWN (DESCEND),,,2014,GO DOWN (DESCEND),GO,
goout,GO OUT,,,1107,GO OUT,GO,
drop,DROP,,,750,DROP,FALL,
breakcleave,BREAK (CLEAVE),,,2558,BREAK (CLEAVE),DESTROY,
breakdestroyorgetdestroyed,BREAK (DESTROY OR GET DESTROYED),,,680,BREAK (DESTROY OR GET DESTROYED),DESTROY,
marryaswoman,MARRY (AS WOMAN),,,2163,MARRY (AS WOMAN),,
givebirth,GIVE BIRTH,,,1195,GIVE BIRTH,,
growup,GROW UP,,,552,GROW UP,,
sick,SICK,,,1847,SICK,WOUND,
shiver,SHIVER,,,52,SHIVER,SHAKE,
barking,BARKING,,,1206,BARKING,,
crowverb,CROW (VERB),,,2074,CROW (VERB),,
broodverb,BROOD (VERB),,,2075,BROOD (VERB),,
sproutverb,SPROUT (VERB),,,2076,SPROUT (VERB),,
tall,TALL,,,711,TALL,HIGH,
low,LOW,,,721,LOW,LOW,
coarse,COARSE,,,2151,COARSE,,
fineorthin,FINE OR THIN,,,2157,FINE OR THIN,SMALL,
thinofleafandcloth,THIN (OF LEAF AND CLOTH),,,2306,THIN (OF LEAF AND CLOTH),,
bright,BRIGHT,,,679,BRIGHT,CLEAN,
blue,BLUE,,,837,BLUE,YELLOW,
clean,CLEAN,,,704,CLEAN,CLEAN,
oldused,OLD (USED),,,2113,OLD (USED),OLD,
raw,RAW,,,1959,RAW,YELLOW,
cooked,COOKED,,,269,COOKED,YELLOW,
belate,BE LATE,,,425,BE LATE,NIGHT,
expensive,EXPENSIVE,,,1426,EXPENSIVE,EXPENSIVE,
cheap,CHEAP,,,1887,CHEAP,EASY,
easy,EASY,,,686,EASY,EASY,
difficult,DIFFICULT,,,584,DIFFICULT,EXPENSIVE,
fragrant,FRAGRANT,,,376,FRAGRANT,SWEET,
stinking,STINKING,,,42,STINKING,STINKING,
tired,TIRED,,,1757,TIRED,SMOOTH,
painful,PAINFUL,,,1129,PAINFUL,,
diligent,DILIGENT,,,2077,DILIGENT,,
lazy,LAZY,,,1564,LAZY,SMOOTH,
poor,POOR,,,1674,POOR,ORPHAN,
rich,RICH,,,712,RICH,RICH,
tenthousand,TEN THOUSAND,,,2078,TEN THOUSAND,,
personclassifier,PERSON (CLASSIFIER),,,516,PERSON (CLASSIFIER),,
bowlclassifier,BOWL (CLASSIFIER),,,2080,BOWL (CLASSIFIER),,
chickenclassifier,CHICKEN (CLASSIFIER),,,2081,CHICKEN (CLASSIFIER),,
knifeclassifier,KNIFE (CLASSIFIER),,,2082,KNIFE (CLASSIFIER),,
axeclassifier,AXE (CLASSIFIER),,,2083,AXE (CLASSIFIER),,
ropeclassifier,ROPE (CLASSIFIER),,,2084,ROPE (CLASSIFIER),,
stickclassifier,STICK (CLASSIFIER),,,2085,STICK (CLASSIFIER),,
grainclassifier,GRAIN (CLASSIFIER),,,2086,GRAIN (CLASSIFIER),,
dropclassifier,DROP (CLASSIFIER),,,2087,DROP (CLASSIFIER),,
clothingclassifier,CLOTHING (CLASSIFIER),,,2088,CLOTHING (CLASSIFIER),,
pairclassifier,PAIR (CLASSIFIER),,,2089,PAIR (CLASSIFIER),,
my,MY,,,2090,MY,,
yoursingular,YOUR (SINGULAR),,,732,YOUR (SINGULAR),,
hisorher,HIS OR HER,,,2092,HIS OR HER,,
just,JUST,,,84,JUST,,
first,FIRST,,,728,FIRST,BEFORE,
afterwards,AFTERWARDS,,,2093,AFTERWARDS,THEN,
slowly,SLOWLY,,,2165,SLOWLY,,
very,VERY,,,1311,VERY,,
again,AGAIN,,,204,AGAIN,AND,
armorhand,ARM OR HAND,,,2121,ARM OR HAND,ARM,Tadmor-2009-100
leg,LEG,,,1297,LEG,LEG,Swadesh-1952-200
mortar,MORTAR,,,224,MORTAR,MORTAR CRUSHER,
pestle,PESTLE,,,225,PESTLE,MORTAR CRUSHER,
rice,RICE,,,926,RICE,RICE,
turmeric,TURMERIC,,,2842,TURMERIC,,
tomato,TOMATO,,,986,TOMATO,,
boy,BOY,,,1366,BOY,CHILD (DESCENDANT),
girl,GIRL,,,1646,GIRL,CHILD (DESCENDANT),
which,WHICH,,,727,WHICH,HOW,
whole,WHOLE,,,2277,WHOLE,,
bethirsty,BE THIRSTY,,,3474,BE THIRSTY,,
lierest,LIE (REST),,,1411,LIE (REST),SLEEP,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110
burnsomething,BURN (SOMETHING),,,141,BURN (SOMETHING),COOK (SOMETHING),Starostin-1991-110
youformaladdress,YOU (FORMAL ADDRESS),,,2844,YOU (FORMAL ADDRESS),THAT,
weexclusive,WE (EXCLUSIVE),,,1130,WE (EXCLUSIVE),WE (INCLUSIVE),
arm,ARM,,,1673,ARM,ARM,
millet,MILLET,,,931,MILLET,,
femalegoat,FEMALE GOAT,,,2476,FEMALE GOAT,,
afternoon,AFTERNOON,,,1807,AFTERNOON,NIGHT,
chest,CHEST,,,1592,CHEST,BREAST,
hen,HEN,,,1514,HEN,CHICKEN,
howmuch,HOW MUCH,,,531,HOW MUCH,HOW MUCH,
beat,BEAT,,,1665,BEAT,,
brother,BROTHER,,,1262,BROTHER,SISTER,
sister,SISTER,,,1263,SISTER,SISTER,
abuse,ABUSE,,,1953,ABUSE,,
spirit,SPIRIT,,,53,SPIRIT,BREATH,
animal,ANIMAL,,,619,ANIMAL,CATTLE,Swadesh-1952-200
anthill,ANTHILL,,,1873,ANTHILL,,
askrequest,ASK (REQUEST),,,1828,ASK (REQUEST),PRAY,
spine,SPINE,,,805,SPINE,BACK,
bananatree,BANANA TREE,,,1795,BANANA TREE,,
bark,BARK,,,1204,BARK,BARK,Swadesh-1952-200 Swadesh-1955-100 Starostin-1991-110
lame,LAME,,,320,LAME,LIMP,
satiated,SATIATED,,,106,SATIATED,,
become,BECOME,,,1990,BECOME,BECOME,
dryup,DRY UP,,,1786,DRY UP,,
beer,BEER,,,1639,BEER,MEAD,
beerbanana,BEER BANANA,,,2251,BEER BANANA,,
bellyorstomach,BELLY OR STOMACH,,,2114,BELLY OR STOMACH,,
bewitch,BEWITCH,,,118,BEWITCH,,
bile,BILE,,,1780,BILE,,
bladder,BLADDER,,,1746,BLADDER,,
blindperson,BLIND PERSON,,,457,BLIND PERSON,,
boil,BOIL,,,2493,BOIL,,
boundary,BOUNDARY,,,1010,BOUNDARY,EDGE,
brain,BRAIN,,,1583,BRAIN,THINK (REFLECT),
fart,FART,,,1159,FART,,
breath,BREATH,,,870,BREATH,BREATH,
bring,BRING,,,692,BRING,TAKE,
raisebringup,RAISE (BRING UP),,,2134,RAISE (BRING UP),FEED,
build,BUILD,,,1840,BUILD,WORK (LABOUR),
bull,BULL,,,1008,BULL,CATTLE,
load,LOAD,,,1679,LOAD,EXPENSIVE,
bury,BURY,,,1719,BURY,COVER,
bush,BUSH,,,1683,BUSH,HILL,
buttocks,BUTTOCKS,,,834,BUTTOCKS,LEG,
calfofleg,CALF OF LEG,,,498,CALF OF LEG,LEG,
call,CALL,,,1084,CALL,SHOUT,
pregnant,PREGNANT,,,1123,PREGNANT,EXPENSIVE,
cattle,CATTLE,,,1153,CATTLE,CATTLE,
cease,CEASE,,,1928,CEASE,EDGE,
chair,CHAIR,,,1476,CHAIR,TABLE,
charcoal,CHARCOAL,,,1188,CHARCOAL,EMBERS,
dispel,DISPEL,,,30,DISPEL,TAKE,
clan,CLAN,,,302,CLAN,MAN,
finish,FINISH,,,1766,FINISH,EDGE,
cookingpot,COOKING POT,,,3653,COOKING POT,,
corpse,CORPSE,,,767,CORPSE,CORPSE,
cough,COUGH,,,879,COUGH,NOSE,
country,COUNTRY,,,1300,COUNTRY,COUNTRY,
courtyard,COURTYARD,,,4,COURTYARD,,
transit,TRANSIT,,,574,TRANSIT,,
cultivate,CULTIVATE,,,1541,CULTIVATE,CULTIVATE,
destroy,DESTROY,,,681,DESTROY,DESTROY,
diminish,DIMINISH,,,1184,DIMINISH,,
divide,DIVIDE,,,1119,DIVIDE,CUT,
donkey,DONKEY,,,1862,DONKEY,HORSE,
drawwater,DRAW (WATER),,,1911,DRAW (WATER),,
drizzle,DRIZZLE,,,1016,DRIZZLE,,
drum,DRUM,,,908,DRUM,,
excreta,EXCRETA,,,47,EXCRETA,,
extinguish,EXTINGUISH,,,127,EXTINGUISH,KILL,
eyebrow,EYEBROW,,,1173,EYEBROW,EYEBROW,
eyelash,EYELASH,,,1540,EYELASH,EYEBROW,
organicfatoroil,ORGANIC FAT OR OIL,,,2551,ORGANIC FAT OR OIL,,
fireplace,FIREPLACE,,,185,FIREPLACE,FIREPLACE,
fist,FIST,,,1473,FIST,,
foam,FOAM,,,1768,FOAM,GHOST,
follow,FOLLOW,,,1085,FOLLOW,FOLLOW,
fowl,FOWL,,,265,FOWL,CHICKEN,
gather,GATHER,,,7,GATHER,TIE,
accustom,ACCUSTOM,,,1118,ACCUSTOM,,
getlost,GET LOST,,,423,GET LOST,,
leave,LEAVE,,,1752,LEAVE,GO,
god,GOD,,,1944,GOD,CHIEFTAIN,
