Name	ID	Glottocode	Family	Latitude	Longitude	Hits
Atakapa	johanssonsoundsymbolic-Atakapa	atak1252		30.9121	-93.0827	3
Atta, Pamplona	abvdphilippines-410	pamp1244	Austronesian	18.4738	121.3	3
Avar (Ansalta dialect)	idssegmented-avaransaltadialect	avar1256	Nakh-Daghestanian	41.7047	46.558	3
Avau	abvdoceanic-Avau_1391	avau1237	Austronesian	-6.24342	150.427	3
Awyu, South (Syiagha Dialect)	transnewguineaorg-awyu-south	sout2941	Nuclear Trans New Guinea	-7.36301	139.538	3
Baki	abvdoceanic-Baki_1033	baki1244	Austronesian	-16.7096	168.165	3
Bankan_Tey	baf2-BankanTey	bank1259	Dogon	15.07	-2.91	3
Banoni	blustaustronesian-banoni	bann1247	Austronesian	-6.23061	155.128	3
BarabaTatar	robbeetstriangulation-BarabaTatar	bara1273	Turkic	57.49	72.56	3
Barí	idssegmented-bari	bari1297	Chibchan	9.08497	-72.9353	3
Bende	tls-Bende	bend1258	Atlantic-Congo	-6.22082	30.5926	3
Bimin (Fagobiw Dialect)	transnewguineaorg-bimin-fagobiw	bimi1240	Nuclear Trans New Guinea	-5.38732	142.04	3
Bine (Irupi Dialect)	transnewguineaorg-bine-irupi	irup1239	Eastern Trans-Fly	-9.13885443	142.87018756	3
Bine (Kunini Dialect)	transnewguineaorg-bine-kunini	kuni1264	Eastern Trans-Fly	-9.080784	143.030921	3
Black Lahu	yangyi-LahuNa	naaa1244	Sino-Tibetan	22.21900429	99.70134153	3
Bogaya	transnewguineaorg-bogaya	boga1247		-5.54487	142.255	3
Bontok, Eastern	abvdphilippines-673	cent2292	Austronesian	17.08	120.92	3
Botlikh (Miarso dialect)	idssegmented-botlikhmiarsodialect	botl1242	Nakh-Daghestanian	42.665	46.22	3
Breton	idssegmented-breton	bret1244	Indo-European	48.2452	-3.78934	3
Breton: Treger	iecor-229	treg1244	Indo-European	48.79	-3.23	3
Bugan	peirosaustroasiatic-Bugan	buga1247	Austroasiatic	23.61242	104.96286	3
Bunun F69, Southern	abvdphilippines-202	bunu1267	Austronesian	23.4116	121.025	3
Bura	kraftchadic-Bura	bura1292	Afro-Asiatic	10.4822	12.3007	3
Burmbar: Tengan	vanuatuvoices-Burmbartengan	burm1263	Austronesian	-16.38095	167.70045	3
Burmish_Bola	sagartst-Bola	pela1242	Sino-Tibetan	24.405004	98.234243	3
Burmish_Xiandao	sagartst-Xiandao	xian1249	Sino-Tibetan	24.494153	97.753173	3
Cajamarca	crossandean-Chetilla	caja1238	Quechuan	-7.09314	-78.3214	3
Canala	abvdoceanic-Canala_19	xara1244	Austronesian	-21.7034	165.996	3
Carpigiano_Emiliano	saenkoromance-carpigianoemiliano	emil1241	Indo-European	44.3536	11.5794	3
Catalan	northeuralex-cat	stan1289	Indo-European	41.45	1.57	3
Catío	hubercolumbian-Catio	embe1260	Chocoan	7.52721	-76.7476	3
Cayuvava	keypano-Cayuvava	cayu1262		-13.2482	-65.4822	3
Ceq Wong	wold-CeqWong	chew1245	Austroasiatic	3.8807	102.456	3
Chambri	transnewguineaorg-chambri	cham1313	Lower Sepik	-4.27831	143.097	3
Cheng	sidwellbahnaric-cheng	jeng1241	Austroasiatic	15.0392	107.147	3
Chong	idssegmented-chong	chon1284	Austroasiatic	12.5218	102.514	3
Chrau	sidwellbahnaric-chrau	chra1242	Austroasiatic	10.8021	107.293	3
Ciri	abvdoceanic-Ciri_1504	tiri1258	Austronesian	-21.8147	165.792	3
Copainalá Zoque	johanssonsoundsymbolic-Copainalazoque	copa1236	Mixe-Zoque	17.2157	-93.3183	3
Ctl: Nalemba: Narovorovo	vanuatuvoices-Ctlnalembanarovorovo	naro1250	Austronesian	-15.1826	168.110702	3
Ctl: Sungwadaga: Rongnawo	vanuatuvoices-Ctlsungwadagarongnawo	cent2058	Austronesian	-15.10197	168.079925	3
Cua	sidwellbahnaric-cua	cuaa1241	Austroasiatic	15.1688	108.431	3
Cubeo	hubercolumbian-Cubeo	cube1242	Tucanoan	1.32382	-70.1939	3
Cuiba	hubercolumbian-Cuiba	cuib1242	Guahiboan	6.19829	-69.8197	3
Cuvok	gravinachadic-Cuvok	cuvo1236	Afro-Asiatic	10.6448	14.0006	3
Danish	northeuralex-dan	dani1285	Indo-European	55.6	12.5	3
Darkinyung	bowernpny-Darkinyung	hawk1239	Pama-Nyungan	-33.11470744	150.4952383	3
Dhadhaje	tryonsolomon-dhadhaje	bugh1239	Austronesian	-8.47948	159.802	3
Dhangu	bowernpny-Dhangu	dhan1270	Pama-Nyungan	-11.9493	135.752	3
Dharuk	bowernpny-Dharuk	sydn1236	Pama-Nyungan	-33.52925837	150.3490464	3
Diaocao	yanglalo-Diaocao	dong1286	Sino-Tibetan	25.435	100.178	3
Dira	kraftchadic-Dira	diri1259	Afro-Asiatic	11.1701	9.32363	3
Doe	tls-Doe	doee1238	Atlantic-Congo	-6.25844	38.4902	3
Drubea	abvdoceanic-Drubea_1369	dumb1241	Austronesian	-22.0947	166.531	3
Eastern Kayah Li	starostinkaren-Eastern_Kayah_Li	east2342	Sino-Tibetan	19.8939	98.3359	3
Eastern-Apurímac	crossandean-Apurimac	east2551	Quechuan	-14.1754	-72.6686	3
Enga	transnewguineaorg-enga	enga1252	Nuclear Trans New Guinea	-5.45619	143.685	3
Ergong	gaotb-Ergong	horp1239	Sino-Tibetan	31.1	101.72	3
Erzya Mordvin	idssegmented-erzyamordvin	erzy1239	Uralic	52.8548	45.3901	3
Fataluku	transnewguineaorg-fataluku	fata1247	Timor-Alor-Pantar	-8.49464	127.08	3
Fortsenal	abvdoceanic-Fortsenal_1167	fort1240	Austronesian	-15.4484	166.931	3
Frisian	iecor-26	west2354	Indo-European	53.13	5.78	3
Fulfulde	baf2-Fulfulde	maas1239	Atlantic-Congo	14.49205	-3.61506667	3
Futuna-Aniwa	abvdoceanic-FutunaAniwa_156	futu1245	Austronesian	-19.5303	170.215	3
Gagana Sāmoa	walworthpolynesian-Samoan	samo1305	Austronesian	-13.92	-171.83	3
Gajirrabeng	huntergatherer-214	gadj1243	Jarrakan	-15.4786	129.156	3
Geji	kraftchadic-Geji	geji1246	Afro-Asiatic	10.3478	9.64965	3
Gende	transnewguineaorg-gende	gend1249	Nuclear Trans New Guinea	-5.67528	145.177	3
German	northeuralex-deu	stan1295	Indo-European	52.27	10.5	3
Geshiza	lairgyalrong-Geshiza	horp1240	Sino-Tibetan	31.028655	101.648464	3
Ghanongga	tryonsolomon-ghanongga	ghan1242	Austronesian	-8.02035	156.552	3
Ghari	tryonsolomon-ghari	ghar1239	Austronesian	-9.4791	159.917	3
Gobasi (Bibo Dialect)	transnewguineaorg-gobasi-bibo	goba1246	East Strickland	-6.48678	142.201	3
Gondi	dravlex-Gondi	nort2702	Dravidian	18.1632	81.3842	3
Greek: Cappadocian	iecor-210	capp1239	Indo-European	38.73	35.45	3
Guahibo	hubercolumbian-Guahibo	guah1255	Guahiboan	5.81736	-68.9839	3
Guayabero	hubercolumbian-Guayabero	guay1257	Guahiboan	2.8969	-71.844	3
Guilin	liusinitic-Guilin	guil1241	Sino-Tibetan	25.266667	110.283333	3
Gumatj	bowernpny-Gumatj	guma1253	Pama-Nyungan	-12.25254	136.83042	3
Gumawana	abvdoceanic-Gumawana_511	guma1254	Austronesian	-9.28497	150.762	3
Gumuz	johanssonsoundsymbolic-Gumuz	gumu1244	Gumuz	11.05	35.93	3
Gusii	tls-Gusii	gusi1247	Atlantic-Congo	-0.78872	34.76751	3
Guwa	bowernpny-Guwa	guwa1242	Pama-Nyungan	-21.35147706	142.5243782	3
Gúra	polyglottaafricana-XII-A-a-4	gola1255	Atlantic-Congo	7.06193	-10.8138	3
Gyalsumdo	dhakalsouthwesttibetic-Gyalsumdo	gyal1236	Sino-Tibetan	28.53256	84.33953	3
Halang	sidwellbahnaric-halang	hala1252	Austroasiatic	14.7862	107.457	3
Haoni	yangyi-Haoni	honi1244	Sino-Tibetan	23.44336047	101.7461037	3
Hawaiian	idssegmented-hawaiian	hawa1245	Austronesian	19.6297	-155.43	3
Hildi	kraftchadic-Hildi	marg1266	Afro-Asiatic	10.53854	12.99521	3
Hiw	abvdoceanic-Hiw_639	hiww1237	Austronesian	-13.126367	166.584857	3
Hote (Misim dialect)	abvdoceanic-HoteMisimdialect_1392	hote1245	Austronesian	-7.07708	146.869	3
Huallaga-Huánuco	crossandean-Huallaga	hual1241	Quechuan	-9.57135	-75.594	3
Iamalele	abvdoceanic-Iamalele_1435	iama1237	Austronesian	-9.45005	150.573	3
Ibaloi	abvdphilippines-679	ibal1244	Austronesian	16.4263	120.695	3
Icelandic	northeuralex-isl	icel1247	Indo-European	63.48	-19.02	3
Imbabura Quechua	wold-ImbaburaQuechua	imba1240	Quechuan	0.333333	-78.0	3
Inagta Alabat	abvdphilippines-1635	alab1246	Austronesian	14.1217	122.014	3
Inga	hubercolumbian-Inga	inga1252	Quechuan	1.00313	-76.8606	3
Iranun	abvdphilippines-458	iran1262	Austronesian	4.3362	118.224	3
Island Carib	walkerarawakan-IslandCarib	isla1278	Arawakan	15.4	-61.3	3
Isneg, Dibagat-Kabugao-Isneg	abvdphilippines-424	isna1241	Austronesian	18.2139	121.16	3
Itelmen	northeuralex-itl	itel1242	Chukotko-Kamchatkan	56.78	156.91	3
Itipula	mitterhoferbena-Itipula	itip1234	Atlantic-Congo	-9.34988	35.21523	3
Jahai Banun	dunnaslian-Jahai_Banun	jeha1242	Austroasiatic	5.63695	101.541	3
Jamaican Creole (Limonese Creole dialect)	idssegmented-jamaicancreolelimonesecreoledialect	jama1262	Indo-European	18.13	-77.2612	3
Jari	kraftchadic-Jari	daga1272	Atlantic-Congo	11.6839	-2.48569	3
Kagayanen	abvdphilippines-860	kaga1256	Austronesian	10.4656	119.872	3
Kaingáng	idssegmented-kaingang	kain1272	Nuclear-Macro-Je	-27.7671	-52.5394	3
Kalagan	abvdphilippines-428	kala1388	Austronesian	6.8126	125.328	3
Kalamang	visserkalamang-kara1499	kara1499	West Bomberai	-3.47037	132.678	3
Kallahan, Kayapa Proper	abvdphilippines-430	kaya1320	Austronesian	16.321	120.9	3
Kallahan, Keleyqiq	abvdphilippines-431	kele1259	Austronesian	16.7099	121.035	3
Kalmyk	northeuralex-xal	kalm1243	Mongolic-Khitan	46.57	45.32	3
Kamang	robinsonap-kamang	kama1365	Timor-Alor-Pantar	-8.26897	124.792	3
Kamayo	abvdphilippines-1549	kama1363	Austronesian	8.10796	126.314	3
Kankanay, Northern	abvdphilippines-432	nort2877	Austronesian	17.1057	120.786	3
Kapampangan	abvdphilippines-1200	pamp1243	Austronesian	14.9603	120.502	3
Karata	idssegmented-karata	kara1474	Nakh-Daghestanian	42.6501	46.3151	3
Karata (Tokitin dialect)	idssegmented-karatatokitindialect	toki1238	Nakh-Daghestanian	42.5727	46.3724	3
Kasseng	sidwellbahnaric-kasseng	tali1257	Austroasiatic	16.5287	106.102	3
Kásāndṣ	polyglottaafricana-X-B-3	mban1264	Atlantic-Congo	-9.15592	17.4086	3
Kha Poong	idssegmented-khapoong	khap1242	Austroasiatic	18.25	105.0	3
Khaling	halenepal-Khaling	khal1275	Sino-Tibetan	27.3912	87.5053	3
Khanty	idssegmented-khanty	khan1273	Uralic	62.4308	66.1218	3
Khasi	nagarajakhasian-Khasi	khas1269	Austroasiatic	24.977	91.9998	3
Khwarshi (Kwantlada dialect)	idssegmented-khwarshikwantladadialect	khva1239	Nakh-Daghestanian	42.2743	45.9977	3
Kilba	kraftchadic-Kilba	huba1236	Afro-Asiatic	10.3544	13.139	3
Kim Mun	chenhmongmien-KimMun	kimm1245	Hmong-Mien	18.955781	109.86012	3
Kiranti_Bahing	sagartst-Bahing	bahi1252	Sino-Tibetan	27.309472	86.430334	3
Kiranti_Thulung	sagartst-Thulung	thul1246	Sino-Tibetan	27.534944	87.609608	3
Kiribati	abvdoceanic-Kiribati_346	gilb1244	Austronesian	0.179	173.64	3
Kírīman	polyglottaafricana-XI-2	chuw1238	Atlantic-Congo	-17.3428	37.1231	3
Kobol	transnewguineaorg-kobol	kobo1248	Nuclear Trans New Guinea	-4.79614	145.284	3
Kogui	hubercolumbian-Kogui	cogu1240	Chibchan	10.9485	-73.8043	3
Kol	transnewguineaorg-kol	kolp1236		-5.21042	151.583	3
Koluwawa	abvdoceanic-Koluwawa_1438	kolu1245	Austronesian	-9.42742	150.462	3
Korean	northeuralex-kor	kore1280	Koreanic	37.5	128.0	3
Kove	abvdoceanic-Kove_282	kove1237	Austronesian	-5.58623	149.63	3
Kọ́no	polyglottaafricana-II-3	kono1268	Mande	8.67039	-10.9214	3
Kukatja	bowernpny-Kukatja	kuka1246	Pama-Nyungan	-20.3321	127.666	3
Kuni-Boazi	transnewguineaorg-kuni-boazi	kuni1265	Anim	-6.97504	141.365	3
Kuruaya	tuled-Kuruaya	kuru1309	Tupian	-3.09561	-52.2303	3
Kurukh	dravlex-Kurukh	kuru1302	Dravidian	24.4644	86.4657	3
Kutu	tls-Kutu	kutu1263	Atlantic-Congo	-7.23789	37.8623	3
Kwakiutl	johanssonsoundsymbolic-Kwakiutl	kwak1269	Wakashan	50.9269	-127.308	3
Lake Miwok	huntergatherer-38	lake1258	Miwok-Costanoan	39.0021	-122.621	3
Lambayeque	crossandean-Inkawasi	lamb1276	Quechuan	-6.1715	-79.468	3
Lamenu	abvdoceanic-Lamenu_1107	lame1260	Austronesian	-16.6098	168.171	3
Lamogai (Mulakaino)	abvdoceanic-LamogaiMulakaino_67	lamo1244	Austronesian	-5.87071	149.321	3
Lawu	yangyi-LawuXinpingShuitangJiuha	lawu1238	Sino-Tibetan	24.1338571	101.4986393	3
Lega D.25	bantubvd-8	lega1249	Atlantic-Congo	-3.83196	27.1424	3
Liangmai	marrisonnaga-Liangmai	lian1251	Sino-Tibetan	25.3667	93.6333	3
Likum	abvdoceanic-Likum_72	liku1243	Austronesian	-2.16157	146.695	3
Lonwolwol	abvdoceanic-Lonwolwol_1026	lonw1238	Austronesian	-16.2286	168.016	3
Lou	abvdoceanic-Lou_74	louu1245	Austronesian	-2.38659	147.346	3
Lubálo	polyglottaafricana-X-C-3	bolo1261	Atlantic-Congo	-10.3511	15.0867	3
Lushai	marrisonnaga-Lushai	lush1249	Sino-Tibetan	22.60535	92.629457	3
Mabuiag	bowernpny-Mabuiag	kala1377	Pama-Nyungan	-10.6748	142.196	3
Mafea	abvdoceanic-Mafea_1125	mafe1237	Austronesian	-15.4316	167.241	3
Magahi	iecor-144	maga1260	Indo-European	25.59	85.14	3
Mah Meri	dunnaslian-Mah_Meri	besi1244	Austroasiatic	2.717	101.676	3
Malango	tryonsolomon-malango	mala1484	Austronesian	-9.61383	160.118	3
Malasanga	abvdoceanic-Malasanga_1356	mala1487	Austronesian	-5.9401	147.058	3
Mangdi	yanglalo-Mangdi	sout3210	Sino-Tibetan	23.5	99.33	3
Manide (Labo)	abvdphilippines-1641	cama1250	Austronesian	14.1571	122.835	3
Manipuri	marrisonnaga-Manipuri	mani1292	Sino-Tibetan	24.44	93.34	3
Manobo, Dibabawon	abvdphilippines-436	diba1242	Austronesian	7.85664	126.018	3
Mansaka	abvdphilippines-442	mans1262	Austronesian	6.79221	126.181	3
Mari	idssegmented-mari	east2328	Uralic	55.8307	48.405	3
Maring	marrisonnaga-Maring	mari1416	Sino-Tibetan	24.05	94.0333	3
Matengo	tls-Matengo	mate1258	Atlantic-Congo	-11.554	35.0056	3
Matukar	abvdoceanic-Matukar_400	matu1261	Austronesian	-4.9078	145.779	3
Mbabaram	bowernpny-Mbabaram	mbab1239	Pama-Nyungan	-20.1389	143.438	3
Mbirao	tryonsolomon-mbirao	bira1254	Austronesian	-9.73716	160.52	3
Mbwenelang (Xoli)	abvdoceanic-MbwenelangXoli_1316	bwen1239	Austronesian	-16.338946	167.660849	3
Megleno_Romanian	saenkoromance-meglenoromanian	megl1237	Indo-European	41.1174	22.3782	3
Mekeo	abvdoceanic-Mekeo_89	meke1243	Austronesian	-8.23853	146.586	3
Menriq Lah	dunnaslian-Menriq_Lah	minr1238	Austroasiatic	5.01108	102.047	3
Mindoro Tagalog	abvdphilippines-1467	taga1270	Austronesian	14.06	121.747	3
Misima	abvdoceanic-Misima_94	misi1243	Austronesian	-10.6821	152.696	3
MnongRlm	sidwellbahnaric-mnongrlm	east2333	Austroasiatic	12.3939	108.354	3
Moere	transnewguineaorg-moere	moer1240	Nuclear Trans New Guinea	-4.62246	145.458	3
Morouas	abvdoceanic-Morouas_1101	moro1286	Austronesian	-15.3498	166.891	3
Mudburra	huntergatherer-197	mudb1240	Pama-Nyungan	-16.7694	132.329	3
Murrinh-Patha	johanssonsoundsymbolic-MurrinhPatha	murr1258	Southern Daly	-14.74852	129.70152	3
Murupi	transnewguineaorg-murupi	muru1273	Nuclear Trans New Guinea	-5.0245	145.606	3
Mutsā́ya	polyglottaafricana-X-A-7	teke1277	Atlantic-Congo	-3.34458	13.2703	3
Muyang	gravinachadic-Muyang	muya1243	Afro-Asiatic	10.86047	14.21246	3
N: Leonda	vanuatuvoices-Nleonda	amba1270	Austronesian	-15.314	167.852877	3
N: Sungwadia: Naumumu	vanuatuvoices-Nsungwadianaumumu	mari1426	Austronesian	-14.93637	168.053014	3
Nanai	northeuralex-gld	nana1257	Tungusic	48.43	134.8	3
Napo Lowland Quichua	huntergatherer-127	napo1242	Quechuan	-0.072525	-76.3889	3
Nara	johanssonsoundsymbolic-Nara	nara1262		15.3251	37.499	3
Narrungga	bowernpny-Narrungga	naru1238	Pama-Nyungan	-34.69	137.535	3
Navut (Matae)	abvdoceanic-NavutMatae_1113	navu1237	Austronesian	-15.3169	166.798	3
Naxi (Yongning)	gaotb-YongningNaxi	nais1236	Sino-Tibetan	27.46	100.18	3
Nálu	polyglottaafricana-XII-A-b-2	nalu1240	Atlantic-Congo	11.0397	-14.8188	3
Ndari	tls-Ndari	ndal1241	Atlantic-Congo	-9.88948	33.6118	3
Neapolitan	iecor-189	neap1235	Indo-European	40.85	14.25	3
Nend	transnewguineaorg-nend	nend1239	Nuclear Trans New Guinea	-5.04271	144.886	3
Newar	halenepal-Newar	newa1246	Sino-Tibetan	27.2614	84.9577	3
Nggela	tryonsolomon-nggela	gela1263	Austronesian	-9.04587	160.186	3
Ngindo	tls-Ngindo	ngin1244	Atlantic-Congo	-9.78145	37.9832	3
Ngunawal	bowernpny-Ngunawal	ngun1277	Pama-Nyungan	-36.25	148.77	3
Nhirrpi	bowernpny-Nhirrpi	nhir1234	Pama-Nyungan	-28.62911	141.27596	3
Nias	blustaustronesian-nias	nias1242	Austronesian	0.90691	97.4961	3
Northern Saami	idssegmented-northernsaami	nort2671	Uralic	68.725	22.1113	3
Norwegian (Bokmål)	northeuralex-nor	norw1258	Indo-European	59.92	10.71	3
Norwegian: Bokmål	iecor-58	norw1259	Indo-European	59.914	10.718	3
Norwegian: Nynorsk	iecor-304	norw1262	Indo-European	61.18	6.59	3
Nukeria	walworthpolynesian-Nukeria	nuku1259	Austronesian	-3.40038	154.731	3
Nukumanu	abvdoceanic-Nukumanu_1654	nuku1258	Austronesian	-4.576321	159.48537	3
Nukuoro	abvdoceanic-Nukuoro_64	nuku1260	Austronesian	3.84	154.975	3
Nusu	lamanisoic-Nusu	nusu1239	Sino-Tibetan	26.7292	98.8801	3
Nuu-chah-nulth	idssegmented-nuuchahnulth	nuuc1236	Wakashan	49.67	-126.67	3
Nyagrong Minyag (Ganzi Xinlong)	naganorgyalrongic-NyagrongMinyag	muya1239	Sino-Tibetan	30.932449	100.326871	3
Nyakur	idssegmented-nyakur	nyah1250	Austroasiatic	15.8909	101.515	3
Nyamwezi	tls-Nyamwezi	nyam1276	Atlantic-Congo	-5.08559	32.94452	3
Old Frisian	iecor-301	oldf1241	Indo-European	53.34	6.5	3
Old High German	wold-OldHighGerman	oldh1241	Indo-European	50.55	9.68333	3
Old Icelandic	iecor-302	oldn1244	Indo-European	64.26	-21.12	3
Old Irish	iecor-127	oldi1245	Indo-European	54.35	-6.66	3
Orkon	abvdoceanic-Orkon_476	orko1234	Austronesian	-16.210501	168.212109	3
Oroqen	wold-Oroqen	oroq1238	Tungusic	51.2829	126.111	3
Owiniga	transnewguineaorg-owiniga	owin1240	Left May	-4.47476	141.697	3
Paakantyi	bowernpny-Paakantyi	darl1243	Pama-Nyungan	-32.7021	142.695	3
Pangkumu: Ndarmif	vanuatuvoices-Pangkumundarmif	rere1240	Austronesian	-16.28389	167.6669	3
Parnkala	bowernpny-Parnkala	bang1339	Pama-Nyungan	-33.3036	136.079	3
Pashai: North-West	iecor-293	nort2665	Indo-European	34.96	70.055	3
Pazih F69	abvdphilippines-266	kulo1237	Austronesian	23.7562	120.976	3
Pear	idssegmented-pear	pear1247	Austroasiatic	13.593	105.028	3
Pero	kraftchadic-Pero	pero1241	Afro-Asiatic	9.62092	11.044	3
Piamatsina	abvdoceanic-Piamatsina_1036	piam1242	Austronesian	-14.9959	166.738	3
Pileni	tryonsolomon-pileni	pile1238	Austronesian	-10.173335	166.247188	3
Pintupi-Luritja	bowernpny-PintupiLuritja	pint1250	Pama-Nyungan	-23.2963	130.643	3
Pitta-Pitta	bowernpny-PittaPitta	pitt1247	Pama-Nyungan	-22.7952	139.983	3
Piva	abvdoceanic-Piva_858	lawu1237	Austronesian	-6.15201	155.129	3
Polish	northeuralex-pol	poli1260	Indo-European	51.84	18.63	3
Portuguese	keypano-Portuguese	port1283	Indo-European	39.91	-8.1	3
Pumi (Taoba)	gaotb-PumiTaoba	nort2723	Sino-Tibetan	28.66	101.31	3
Páez	idssegmented-paez	paez1247		2.61516	-76.31254	3
Q'eqchi'	wold-Qeqchi	kekc1242	Mayan	16.0	-89.8333	3
Qiang (Taoping)	gaotb-QiangTaoping	sout2728	Sino-Tibetan	31.54	103.38	3
Qiangic_Zhaba	sagartst-Zhaba	zhab1238	Sino-Tibetan	30.538892	101.058397	3
Quechua Ayacuchano	huntergatherer-128	ayac1239	Quechuan	-13.84714	-74.32246	3
Rempi	transnewguineaorg-rempi	remp1241	Nuclear Trans New Guinea	-5.02487	145.782	3
Rengao	sidwellbahnaric-rengao	reng1252	Austroasiatic	14.456	107.9459	3
Rennell	tryonsolomon-rennell	renn1242	Austronesian	-11.6237	160.265	3
Ritharrngu	huntergatherer-207	rita1239	Pama-Nyungan	-13.4559	135.259	3
Romanian	wold-Romanian	roma1327	Indo-European	46.0	25.0	3
Roviana	tryonsolomon-roviana	rovi1238	Austronesian	-8.20493	157.408	3
Rumanyo (Gciriku) K.38	bantubvd-7	diri1252	Atlantic-Congo	-18.1681	20.6678	3
Sakao (Port-Olry)	abvdoceanic-SakaoPortOlry_230	saka1289	Austronesian	-15.0757	167.051	3
Sakizaya	abvdphilippines-801	nata1254	Austronesian	23.9386	121.59	3
Salmit	berrywestpapuan-Salmit	tehi1237	West Bird's Head	-1.51049	131.985	3
Sani	yangyi-Sani	sani1269	Sino-Tibetan	24.77179693	103.290785	3
Saramaccan	wold-Saramaccan	sara1340	Indo-European	4.5	-55.5	3
Sardinian: Nuoro	iecor-63	barb1262	Indo-European	40.475	9.382	3
Seget	berrywestpapuan-Seget	sege1235	West Bird's Head	-1.36931	131.218	3
Selice Romani	wold-SeliceRomani	west2376	Indo-European	48.091	17.9609	3
Semelai	dunnaslian-Semelai	seme1247	Austroasiatic	2.82799	102.806	3
Sengga	tryonsolomon-sengga	sisi1250	Austronesian	-7.0	156.83	3
Seychelles Creole	wold-SeychellesCreole	sese1246	Indo-European	-4.75	55.5	3
Shira-Yughur	robbeetstriangulation-ShiraYughur	east2337	Mongolic-Khitan	37.99	101.76	3
Shuizhuping	yanglalo-Shuizhuping	west1506	Sino-Tibetan	24.73	98.9	3
Sileibi	transnewguineaorg-sileibi	sile1255	Nuclear Trans New Guinea	-4.98243	145.225	3
Singhi	blustaustronesian-singhi	baub1235	Austronesian	1.54467	109.985	3
Siviti (Njav): Tanmililib 2	vanuatuvoices-Sivitinjavtanmililib2	nort3230	Austronesian	-15.97	167.24	3
Skardu Balti	backstromnorthernpakistan-SkarduBalti	balt1258	Sino-Tibetan	35.289137	75.607395	3
Slovak	northeuralex-slk	slov1269	Indo-European	48.55	18.78	3
Songhai_Senni	baf2-SonghaiSenni	humb1243	Songhay	15.2778333	-1.69998333	3
Soteapan Zoque	wichmannmixezoquean-SoteapanZoque	high1276	Mixe-Zoque	18.198	-94.9109	3
Southeastern Tepehuan	utoaztecan-SoutheasternTepehuan	sout2976	Uto-Aztecan	23.1584	-103.983	3
Sowa	abvdoceanic-Sowa_644	sowa1244	Austronesian	-15.82653	168.18653	3
Standard Albanian	northeuralex-sqi	alba1267	Indo-European	41.33	19.85	3
Surigaonon	abvdphilippines-466	suri1273	Austronesian	9.0	126.0	3
Tagbanwa, Aborlan Dialect	abvdphilippines-450	cent2090	Austronesian	10.6519	119.338	3
Tambotalo	abvdoceanic-Tambotalo_1084	tamb1253	Austronesian	-15.5004	167.139	3
Tamil	northeuralex-tam	tami1289	Dravidian	10.52	78.83	3
Tampuan	sidwellbahnaric-tampuan	tamp1251	Austroasiatic	13.56447	107.24544	3
Tangnian	castrosui-TangnianYangAn	anya1244	Tai-Kadai	25.58369	107.801479	3
Tanimbili	tryonsolomon-tanimbili	tani1255	Austronesian	-11.2975	166.507	3
Tape	abvdoceanic-Tape_460	mara1399	Austronesian	-16.0695	167.33	3
Tausug, Jolo Dialect	abvdphilippines-452	taus1251	Austronesian	5.12236	118.88	3
Temiar Kelantan	dunnaslian-Temiar_Kelantan	temi1246	Austroasiatic	4.974	101.438	3
Tibetan (Jirel)	halenepal-JirelTibetan	jire1238	Sino-Tibetan	27.6931	86.3201	3
TibetoKinauri_Bunan	sagartst-Bunan	gahr1239	Sino-Tibetan	32.554766	77.076283	3
Tibeto_Kinauri_Rongpo	sagartst-Rongpo	rong1264	Sino-Tibetan	30.530044	79.569987	3
Tikopia	tryonsolomon-tikopia	tiko1237	Austronesian	-12.2766	168.822	3
Tímne	polyglottaafricana-I-D-2	timn1235	Atlantic-Congo	8.90294	-12.3331	3
Toloza	yangyi-Toloza	tang1372	Sino-Tibetan	26.62042438	100.0342986	3
Tonsea	abvdphilippines-496	tons1240	Austronesian	1.51393	125.052	3
Tsez (Mokok dialect)	idssegmented-tsezmokokdialect	dido1241	Nakh-Daghestanian	42.2646	45.8096	3
Tshinook	tolmiebritishcolumbia-Tshinook-Tilhilooit-UpperTshinook	wasc1239	Chinookan	45.5838	-121.2008	3
Tsimane	blumpanotacana-Tsimane	chim1313	Mosetén-Chimané	-15.214	-66.6431	3
Tsova-Tush	idssegmented-tsovatush	bats1242	Nakh-Daghestanian	42.1806	45.344	3
Tsum	dhakalsouthwesttibetic-Tsum	tsum1240	Sino-Tibetan	28.4719	85.0817	3
Tswana S.30	bantubvd-9	tswa1253	Atlantic-Congo	-24.368	24.7587	3
Tucano	hubercolumbian-Tucano	tuca1252	Tucanoan	0.579755	-69.5763	3
Tungag / Tungak / Lavongai	abvdoceanic-TungagTungakLavongai_359	tung1290	Austronesian	-2.52188	150.198	3
Tutuba	abvdoceanic-Tutuba_1011	tutu1241	Austronesian	-15.580667	167.268889	3
Udi	idssegmented-udi	udii1243	Nakh-Daghestanian	40.9	47.7236	3
Ukuriguma	transnewguineaorg-ukuriguma	ukur1240	Nuclear Trans New Guinea	-4.94407	145.514	3
Unua: Noferai	vanuatuvoices-Unuanoferai	unua1237	Austronesian	-16.23333	167.60139	3
Urdu	dunnielex-urdu	urdu1245	Indo-European	25.0	67.0	3
Uruava	abvdoceanic-Uruava_474	urua1242	Austronesian	-6.23314	155.573	3
Vangunu	tryonsolomon-vangunu	vang1243	Austronesian	-8.66826	157.997	3
